location,decimalLatitude,decimalLongitude,eventDate,vernacularName,taxonID,individualCount,femaleAdult,sex,lifeStage,mortalityType,dateOriginal,easting,northing
Glacier National Park,51.32,-117.5,10/20/1988,Black Bear,https://www.gbif.org/species/2433464,1,0,Unknown,ADULT,Highway,20/10/1988,465720,5685509
Glacier National Park,51.32,-117.5,6/8/1989,Mountain Goat,https://www.gbif.org/species/2441181,1,0,Unknown,YOY,Highway,8/6/1989,467420,5686009
Glacier National Park,51.32,-117.5,6/16/1989,Mountain Goat,https://www.gbif.org/species/2441182,1,0,Unknown,YLY,Highway,16/06/1989,467320,5686009
Glacier National Park,51.22,-117.7,6/23/1989,Black Bear,https://www.gbif.org/species/2433465,1,0,Unknown,YOY,Highway,23/06/1989,452720,5675009
Glacier National Park,51.32,-117.5,7/1/1989,Mountain Goat,https://www.gbif.org/species/2441183,1,1,Female,ADULT,Highway,1/7/1989,467220,5685909
Glacier National Park,51.32,-117.5,7/14/1989,Mountain Goat,https://www.gbif.org/species/2441184,1,0,Unknown,YLY,Highway,14/07/1989,467220,5686009
Glacier National Park,51.31,-117.5,8/3/1989,Black Bear,https://www.gbif.org/species/2433466,1,0,Unknown,YLY,Highway,3/8/1989,464020,5684509
Glacier National Park,51.32,-117.5,6/14/1990,Black Bear,https://www.gbif.org/species/2433467,1,0,Male,YOY,Highway,14/06/1990,465107,5685162
Glacier National Park,51.32,-117.5,6/19/1990,Black Bear,https://www.gbif.org/species/2433468,1,0,Unknown,ADULT,Highway,19/06/1990,465820,5685609
Glacier National Park,50.56,-117.5,7/5/1990,Black Bear,https://www.gbif.org/species/2433469,1,1,Female,ADULT,Highway,5/7/1990,466720,5601408
Glacier National Park,51.29,-117.5,7/14/1990,Black Bear,https://www.gbif.org/species/2433470,1,0,Unknown,YOY,Highway,14/07/1990,464220,5682509
Glacier National Park,51.43,-117.5,7/22/1990,Black Bear,https://www.gbif.org/species/2433471,1,0,Unknown,YLY,Highway,22/07/1990,466720,5697709
Glacier National Park,51.05,-117.9,8/25/1990,Mountain Goat,https://www.gbif.org/species/2441185,1,0,Female,YOY,Highway,25/08/1990,434420,5656209
Glacier National Park,51.32,-117.5,10/16/1990,Mountain Goat,https://www.gbif.org/species/2441186,2,1,Unknown,Unknown,Highway,16/10/1990,467500,5685800
Glacier National Park,51.46,-117.5,5/12/1991,Mountain Goat,https://www.gbif.org/species/2441187,1,0,Unknown,YLY,Highway,12/5/1991,466620,5701509
