ID,Observed,Species,Salvaged,Sex,Count,LifeStage,LifeState,Disposition,Decomposition,Latitude,Longitude,Highway,Milepost,Note,Reporter,Reported,County,Region,GMU,Path
1865972,2019-04-14,White-tailed Deer (Odocoileus virginianus),Yes,Male,1,Unknown,Dead,Unknown,Unknown,47.77727,-116.785847,null,null,"Shedding winter coat. Good to very good condition. 110lbs roughly. Small buttons on head. Large white tail underneath. Bleeding from rear broken leg and lung blood coming from mouth. Wife Vicki called me, than 911 for help at about 9am, to report the deer suffering in front of our living room window. I was at work. 
911 operator indicated LE or F&G would do nothing, it is on our property, it is our responsibility. Vicki called me again, and I left work She indicated it had quit struggling. When I arrived it was dead. It appeared to have been hit by a automobile. No vehicle was present.
 I pulled it into my pickup and went back to work. I dressed/processed the deer after work.
",Anonymous,4/15/2019,Kootenai,Panhandle Region,3,https://idfg.idaho.gov/species/roadkill/1865972
1865973,2019-04-15,Great Horned Owl (Bubo virginianus),No,Unknown,1,Unknown,Dead,Fish and Game Removal,Advanced,44.08459262,-112.2364032,I-15,null,Advanced decomp,idfg-hturner,4/15/2019,Clark,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1865973
1865971,2019-04-15,Mule Deer (Odocoileus hemionus),No,Female,1,Yearling,Dead,Hauled to Barrow Pit,Fresh,43.85475341,-113.4437045,93 north,99,Custer county,idfg-wkillian,4/15/2019,Custer,Upper Snake Region,50,https://idfg.idaho.gov/species/roadkill/1865971
1865970,2019-04-15,Elk (Cervus canadensis),No,Female,1,Mature (Adult),Dead,Hauled to Barrow Pit,Moderate,43.6437001,-113.0883619,33 weat,5,null,idfg-wkillian,4/15/2019,Butte,Upper Snake Region,50,https://idfg.idaho.gov/species/roadkill/1865970
1866546,2019-04-15,White-tailed Deer (Odocoileus virginianus),No,Female,2,Unknown,Dead,Unknown,Unknown,48.64547752,-116.0595384,US-2,79.2,null,itdbulkupload,4/15/2019,Boundary,Panhandle Region,1,https://idfg.idaho.gov/species/roadkill/1866546
1866547,2019-04-15,Mule Deer (Odocoileus hemionus),No,Female,1,Unknown,Dead,Unknown,Unknown,48.96209451,-116.4195981,ID-1,5.8,null,itdbulkupload,4/15/2019,Boundary,Panhandle Region,1,https://idfg.idaho.gov/species/roadkill/1866547
1866548,2019-04-15,White-tailed Deer (Odocoileus virginianus),No,Unknown,1,Unknown,Dead,Unknown,Unknown,48.58336848,-116.3849849,US-95,498.3,null,itdbulkupload,4/15/2019,Boundary,Panhandle Region,1,https://idfg.idaho.gov/species/roadkill/1866548
1866549,2019-04-15,White-tailed Deer (Odocoileus virginianus),No,Female,1,Unknown,Dead,Unknown,Unknown,48.59024437,-116.38158,US-95,498.8,null,itdbulkupload,4/15/2019,Boundary,Panhandle Region,1,https://idfg.idaho.gov/species/roadkill/1866549
1866550,2019-04-15,White-tailed Deer (Odocoileus virginianus),No,Male,1,Unknown,Dead,Unknown,Unknown,47.27906261,-116.5145678,ID-3,81,null,itdbulkupload,4/15/2019,Benewah,Panhandle Region,6,https://idfg.idaho.gov/species/roadkill/1866550
1865943,2019-04-14,White-tailed Deer (Odocoileus virginianus),No,Female,1,Unknown,Dead,Unknown,Unknown,43.529339,-114.2823221,null,null,There is a dead doe on the trail at Quigley in Hailey. It is on the east side near the top as you are coming straight down after crossing the saddle.,Anonymous,4/14/2019,Blaine,Magic Valley Region,49,https://idfg.idaho.gov/species/roadkill/1865943
1865941,2019-04-13,White-tailed Deer (Odocoileus virginianus),Yes,Female,1,Unknown,Dead,Unknown,Unknown,48.48196049,-116.4617038,null,null,I salvaged an adult female whitetail deer at 8:20 am on April 13th 2019. It was in the ditch in the northbound lane. I did not hit this animal and there was no vehicle debris nearby. I did Salvage the entire deer.,Anonymous,4/13/2019,Bonner,Panhandle Region,1,https://idfg.idaho.gov/species/roadkill/1865941
1865940,2019-04-13,White-tailed Deer (Odocoileus virginianus),Yes,Both Sexes,1,Unknown,Dead,Unknown,Unknown,48.53779064,-116.4191396,null,null,On my way to work today at 8:14 a.m. on April 13th 2019 I picked up three deer at this location. Two female deer and one male. All adults. There were two deer in the ditch on the southbound lane and one deer in the ditch in the northbound lane. All within 25 feet of each otherThere were also a lot of car parts. I did not hit these deer I only salvaged.,Anonymous,4/13/2019,Boundary,Panhandle Region,1,https://idfg.idaho.gov/species/roadkill/1865940
1865938,2019-04-13,White-tailed Deer (Odocoileus virginianus),No,Female,1,Subadult,Dead,Hauled to Dump-Landfill,Advanced,47.7485223,-116.7751262,null,null,Deer was located deceased in the yard.  It had been there for some time as the hair was sloughing off and the body was in decay.  There was blood under the deer and one of the legs hind legs was clearly broken.  It appears to have been hit by a vehicle and later died.,Anonymous,4/13/2019,Kootenai,Panhandle Region,3,https://idfg.idaho.gov/species/roadkill/1865938
1865937,2019-04-13,Mule Deer (Odocoileus hemionus),Yes,Female,1,Unknown,Dead,Unknown,Unknown,42.90104544,-114.3100055,ID-24,62,female mule deer,Anonymous,4/13/2019,Lincoln,Magic Valley Region,52A,https://idfg.idaho.gov/species/roadkill/1865937
1865936,2019-04-13,Elk (Cervus canadensis),Yes,Male,1,Unknown,Dead,Unknown,Unknown,43.87915714,-111.1796459,null,null,"Approximately 11 month old bull calf Elk
W 107500 N Teton Valley ID
Officer Fred Hall called me at 12:30 am and asked if I would like to salvage 2 Elk that had been involved in a Auto Incident. I said yes.

",Anonymous,4/13/2019,Teton,Upper Snake Region,62,https://idfg.idaho.gov/species/roadkill/1865936
1865935,2019-04-13,Elk (Cervus canadensis),Yes,Female,1,Unknown,Dead,Unknown,Unknown,43.87918034,-111.1795387,null,null,"Approximately 11 month old Elk.
N 10750 W Hwy 32.
Auto collision",Anonymous,4/13/2019,Teton,Upper Snake Region,62,https://idfg.idaho.gov/species/roadkill/1865935
1865930,2019-04-12,Mule Deer (Odocoileus hemionus),No,Female,1,Mature (Adult),Dead,Fish and Game Removal,Fresh,43.8915627,-113.5554251,US - 93,105.6,null,idfg-sroberts,4/12/2019,Custer,Upper Snake Region,50,https://idfg.idaho.gov/species/roadkill/1865930
